"Purchase the ""cut tape"" option from DigiKey for all items.",,,,,,,,,,,
,Item,MFR,MFR P/N,Vendor,Vendor P/N,Quantity,Price,Total Price ,Product link ,,Haul Total
,Capacitive Touch Sensor,Azoteq (Pty) Ltd,IQS228B-00000000-TSR,DigiKey,1790-IQS228B-00000000-TSRCT-ND,3,$0.24,$0.72,https://www.digikey.com/en/products/detail/azoteq-pty-ltd/IQS228B-00000000-TSR/13663616,,$87.44
,TSOT3-6 to DIP-6 Adapter Board,Chip Quik Inc.,PA0085,DigiKey,PA0085-ND,1,$2.69,$2.69,https://www.digikey.com/en/products/detail/chip-quik-inc./PA0085/5014712?utm_adgroup=General&utm_source=google&utm_medium=cpc&utm_campaign=PMax%20Shopping_Product_Zombie%20SKUs&utm_term=&utm_content=General&gclid=CjwKCAjwhdWkBhBZEiwA1ibLmECUMvrDmzPkuxZE-THXOBUBjYa9GUWz2VfqQRSi56toTFqMueFErBoCEc0QAvD_BwE,,
,Boost Converter Module,SparkFun Electronics,COM-15208,DigiKey,1568-COM-15208-ND,1,$11.56,$11.56,https://www.digikey.com/en/products/detail/sparkfun-electronics/COM-15208/10187090,,
,Adafruit LiPo Battery - Cylindrical 2.2AH ,Adafruit Inductries LLC,1781,DigiKey,1528-1836-ND,1,$9.95,$9.95,https://www.digikey.com/en/products/detail/adafruit-industries-llc/1781/5054543,,
,Adafruit LiPo Battery - Rectangular 1.2AH ,Adafruit Inductries LLC,258,DigiKey,1528-1838-ND,1,$9.95,$9.95,https://www.digikey.com/en/products/detail/adafruit-industries-llc/258/5054544,,
,Adafruit LiPo Battery Adapter Board,Adafruit Inductries LLC,1863,DigiKey,1528-1862-ND,1,$2.50,$2.50,https://www.digikey.com/en/products/detail/adafruit-industries-llc/1863/6565368,,
,Adafruit USB LiPoly Charger,Adafruit Inductries LLC,1304,DigiKey,1528-1865-ND,1,$5.95,$5.95,https://www.digikey.com/en/products/detail/adafruit-industries-llc/1304/6618716,,
,Connector Option 1 - Cable Assembly,3M,D89110-0131HK-3365/10-D-3,DigiKey,3M156030-MC10G-3M156030-3-ND,1,$3.03,$3.03,https://www.digikey.com/en/products/detail/3m/D89110-0131HK-3365-10-D-3/6024550,,
,Connector Option 1 - Male Receptacle ,3M,30310-6002HB,DigiKey,30310-6002HB-ND,2,$0.75,$1.50,https://www.digikey.com/en/products/detail/3m/30310-6002HB/1237393,,
,Connector Option 2 - Cable Assembly 1,TE Connectivity,A3AAH-1006G,DigiKey,A3AAH-1006G-ND,1,$2.53,$2.53,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/A3AAH-1006G/825887,,
,Connector Option 2 - Cable Assembly 2,TE Connectivity,A3CCH-1018G,DigiKey,A3CCH-1018G-ND,1,$2.92,$2.92,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/A3CCH-1018G/826027,,
